DATE (MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11)
31-10,08:20,306.143,860.627,127.59391,13.81,4.427,-7.473,12.0,1.2,0.0,0.0,0.2427
31-10,08:30,336.139,876.441,129.6012,14.86,4.991,-7.109,13.0,2.2,0.0,0.0,0.2411
31-10,08:40,365.852,890.277,131.66267,15.84,5.321,-7.679,19.0,1.95,0.0,0.0,0.2394
31-10,08:50,392.497,902.399,133.78085,15.9,4.82,-10.08,16.0,1.2,0.0,0.0,0.2362
31-10,09:00,417.442,909.507,135.95801,16.88,5.391,-9.609,14.0,5.95,0.0,0.0,0.2289
31-10,09:10,445.112,921.662,138.19615,16.62,5.165,-9.835,18.0,3.7,0.0,0.0,0.2286
31-10,09:20,468.533,929.759,140.4969,16.71,5.335,-9.365,18.0,5.2,0.0,0.0,0.2265
31-10,09:30,491.098,933.744,142.86148,16.53,5.292,-9.308,18.0,7.2,0.0,0.0,0.2248
31-10,09:40,511.893,935.493,145.29059,16.43,5.158,-9.442,22.0,6.2,0.0,0.0,0.2237
31-10,09:50,528.614,927.548,147.78433,16.6,5.379,-9.021,26.0,5.2,0.0,0.0,0.2219
31-10,10:00,543.051,919.333,150.34214,16.77,5.409,-9.291,27.0,5.45,0.0,0.0,0.2203
31-10,10:10,557.523,910.609,152.96267,17.12,5.685,-8.815,29.0,6.95,0.0,0.0,0.2185
31-10,10:20,569.237,909.341,155.64379,17.14,5.703,-8.497,29.0,9.45,0.0,0.0,0.218
31-10,10:30,588.532,913.984,158.38243,16.69,5.497,-8.503,28.0,10.45,0.0,0.0,0.217
31-10,10:40,595.907,916.212,161.17466,16.98,5.781,-8.119,27.0,5.95,0.0,0.0,0.2161
31-10,10:50,608.183,925.154,164.01557,16.95,5.744,-8.156,26.0,7.7,0.0,0.0,0.2151
31-10,11:00,621.725,936.564,166.89937,16.59,5.583,-8.117,26.0,5.7,0.0,0.0,0.2134
31-10,11:10,636.844,935.825,169.81943,16.68,5.641,-8.059,26.0,7.95,0.0,0.0,0.212
31-10,11:20,633.364,922.815,172.76835,16.49,6.23,-5.46,30.0,6.45,0.0,0.0,0.2149
31-10,11:30,634.809,923.129,175.73809,15.14,6.436,-2.764,24.0,5.95,0.0,0.0,0.2106
31-10,11:40,628.296,924.102,178.72018,14.19,6.148,-2.352,21.0,4.7,0.0,0.0,0.2092
31-10,11:50,629.512,930.447,181.70585,14.07,6.017,-2.483,18.0,5.95,0.0,0.0,0.2102
31-10,12:00,625.146,926.325,184.68622,14.02,6.333,-1.647,18.0,5.95,0.0,0.0,0.2133
31-10,12:10,622.037,929.592,187.65258,13.83,6.188,-1.712,18.0,5.95,0.0,0.0,0.2134
31-10,12:20,616.323,924.156,190.5965,12.45,5.62,-1.48,16.0,5.2,0.0,0.0,0.2124
31-10,12:30,606.475,918.218,193.51007,12.5,5.685,-1.415,20.0,5.45,0.0,0.0,0.2137
31-10,12:40,596.992,915.464,196.38601,12.95,5.98,-1.31,20.0,4.2,0.0,0.0,0.2174
31-10,12:50,590.506,920.069,199.21784,13.19,6.084,-1.306,21.0,4.45,0.0,0.0,0.2183
31-10,13:00,576.896,909.979,201.99992,12.41,5.579,-1.521,20.0,6.2,0.0,0.0,0.2162
31-10,13:10,561.716,905.148,204.72755,12.83,5.751,-1.649,20.0,3.7,0.0,0.0,0.2195
31-10,13:20,546.314,899.774,207.39693,13.0,5.847,-1.653,17.0,4.7,0.0,0.0,0.2195
31-10,13:30,528.026,895.052,210.00518,13.23,5.86,-1.94,20.0,4.2,0.0,0.0,0.2238
31-10,13:40,505.939,879.207,212.55031,12.76,5.587,-2.113,19.0,3.45,0.0,0.0,0.2267
31-10,13:50,488.959,875.789,215.03112,12.68,5.63,-1.87,22.0,2.95,0.0,0.0,0.2286
31-10,14:00,468.819,868.467,217.44718,12.75,5.647,-1.943,17.0,3.95,0.0,0.0,0.2295
31-10,14:10,445.123,854.718,219.79871,12.62,5.606,-1.884,14.0,2.7,0.0,0.0,0.2346
31-10,14:20,421.681,843.096,222.0865,12.65,5.563,-1.937,16.0,2.95,0.0,0.0,0.235
31-10,14:30,394.533,825.212,224.31185,12.42,5.34,-2.26,19.0,2.7,0.0,0.0,0.2367
31-10,14:40,368.526,810.899,226.47647,12.6,5.431,-2.359,20.0,2.95,0.0,0.0,0.2395
31-10,14:50,340.572,787.977,228.58239,12.72,5.455,-2.345,16.0,1.45,0.0,0.0,0.2433
31-10,15:00,314.026,771.075,230.63196,12.75,5.297,-2.903,18.0,3.45,0.0,0.0,0.2429
31-10,15:10,285.015,741.424,232.6277,12.4,5.061,-3.139,17.0,0.95,0.0,0.0,0.2477
31-10,15:20,256.737,712.932,234.57232,12.7,5.231,-3.059,23.0,2.7,0.0,0.0,0.2453
31-10,15:30,223.36,667.253,236.46864,12.29,5.016,-3.084,27.0,1.2,0.0,0.0,0.2476
31-10,16:14,89.8842,432.732,244.31343,11.12,4.284,-3.416,20.0,2.2,0.0,0.0,0.2478
31-10,16:20,73.4744,388.293,245.32919,11.15,4.382,-3.318,17.0,1.2,0.0,0.0,0.2322
31-10,16:30,50.3933,326.129,246.99817,11.09,4.33,-3.27,15.0,1.45,0.0,0.0,0.1688
31-10,16:40,17.2259,1.07641,248.63982,10.37,3.949,-3.451,3.0,0.45,0.0,0.0,0.0652
31-10,16:50,9.08334,-0.266635,250.25717,9.99,3.804,-3.396,0.0,0.0,0.0,0.0,0.0
01-11,06:30,-0.573883,-0.81602,110.28976,-10.03,-10.809,-12.809,0.0,2.2,0.0,0.0,0.0
01-11,06:40,-0.646145,-0.024728,111.77857,-10.23,-10.954,-12.954,0.0,1.45,0.0,0.0,0.0
01-11,06:50,-0.545103,0.341243,113.28347,-10.44,-11.097,-13.097,0.0,1.95,0.0,0.0,0.0
01-11,07:00,-0.393115,0.331351,114.80696,-10.5,-11.151,-12.851,0.0,1.7,0.0,0.0,0.0
01-11,07:10,3.25563,0.400588,116.35149,-10.85,-11.505,-13.405,0.0,2.2,0.0,0.0,0.0
01-11,07:20,6.4161,-0.049455,117.91947,-10.96,-11.584,-13.384,0.0,1.7,0.0,0.0,0.0
01-11,07:30,17.0394,208.743,119.51329,-10.61,-11.269,-13.169,0.0,1.95,0.0,0.0,0.0
01-11,07:40,37.5881,349.816,121.13528,-10.16,-10.901,-12.901,0.0,1.95,0.0,0.0,0.4862
01-11,07:50,36.2632,90.934,122.78774,-9.36,-10.268,-12.568,4.0,0.0,0.0,0.0,0.2756
01-11,08:00,35.4083,3.68445,124.47293,-9.47,-10.348,-12.448,14.0,1.2,0.0,0.0,0.2011
01-11,08:10,33.3833,1.97822,126.19305,-9.43,-10.315,-12.515,16.0,0.95,0.0,0.0,0.1916
01-11,08:20,45.4845,13.4668,127.95024,-9.33,-10.189,-12.489,16.0,1.45,0.0,0.0,0.1913
01-11,08:30,193.423,720.903,129.74655,-8.8,-9.671,-11.671,20.0,2.2,0.0,0.0,0.2813
01-11,08:40,210.548,739.162,131.58394,-7.849,-8.818,-11.118,19.0,2.7,0.0,0.0,0.2718
01-11,08:50,227.992,771.414,133.46426,-7.588,-8.792,-11.692,12.0,2.45,0.0,0.0,0.2632
01-11,09:00,256.501,804.804,135.38918,-7.38,-8.707,-11.807,12.0,2.2,0.0,0.0,0.2547
01-11,09:10,276.818,837.255,137.36021,-6.71,-8.347,-12.047,10.0,0.95,0.0,0.0,0.2502
01-11,09:20,300.047,861.217,139.37867,-5.85,-7.348,-10.548,6.0,3.2,0.0,0.0,0.2452
01-11,09:30,323.162,872.955,141.44557,-4.896,-6.811,-10.711,6.0,2.2,0.0,0.0,0.2413
01-11,09:40,346.194,890.879,143.56169,-4.657,-6.637,-10.737,5.0,3.45,0.0,0.0,0.2379
01-11,09:50,367.527,903.656,145.72743,-5.003,-7.053,-11.353,8.0,3.2,0.0,0.0,0.2348
01-11,10:00,388.379,914.062,147.94283,-4.691,-6.684,-10.684,8.0,2.95,0.0,0.0,0.2326
01-11,10:10,407.985,927.611,150.20749,-3.598,-6.029,-10.829,7.0,1.7,0.0,0.0,0.2307
01-11,10:20,427.685,939.647,152.52058,-3.006,-5.543,-10.343,8.0,4.45,0.0,0.0,0.2294
01-11,10:30,442.225,940.779,154.88072,-2.952,-5.536,-10.536,6.0,2.7,0.0,0.0,0.2285
01-11,10:40,455.751,946.381,157.28603,-2.795,-5.395,-10.295,6.0,1.95,0.0,0.0,0.2268
01-11,10:50,469.156,954.679,159.73407,-1.378,-4.392,-9.992,8.0,1.7,0.0,0.0,0.2261
01-11,11:00,484.602,961.566,162.22182,-1.77,-4.562,-9.562,6.0,2.2,0.0,0.0,0.2237
01-11,11:10,496.265,970.376,164.74572,-0.709,-3.93,-9.53,9.0,2.2,0.0,0.0,0.2233
01-11,11:20,511.166,964.473,167.30167,0.759,-3.07,-9.57,11.0,1.2,0.0,0.0,0.2233
01-11,11:30,514.03,971.015,169.88504,0.856,-2.959,-9.359,11.0,2.95,0.0,0.0,0.2228
01-11,11:40,520.482,971.803,172.49078,1.876,-2.38,-9.48,8.0,2.2,0.0,0.0,0.2238
01-11,11:50,518.355,979.646,175.11343,3.069,-1.64,-8.94,7.0,1.95,0.0,0.0,0.2243
01-11,12:00,520.094,978.004,177.74727,3.72,-1.478,-9.778,7.0,2.2,0.0,0.0,0.2243
01-11,12:10,522.477,982.935,180.38635,3.946,-1.49,-10.19,6.0,2.45,0.0,0.0,0.2235
01-11,12:20,520.541,979.205,183.02464,4.599,-1.18,-10.48,9.0,2.7,0.0,0.0,0.2247
01-11,12:30,524.145,976.162,185.65612,4.797,-0.976,-10.176,9.0,2.95,0.0,0.0,0.2245
01-11,12:40,515.296,968.557,188.2749,4.277,-1.225,-9.825,12.0,2.45,0.0,0.0,0.2257
01-11,12:50,515.381,961.733,190.87531,4.335,-1.165,-9.765,18.0,2.45,0.0,0.0,0.2258
01-11,13:00,506.303,938.27,193.45199,4.328,-1.145,-9.845,12.0,2.7,0.0,0.0,0.2259
01-11,13:10,432.285,732.823,196.0,5.265,-0.554,-9.554,21.0,3.2,0.0,0.0,0.2254
01-11,13:20,93.4814,30.8007,198.51486,5.267,-0.687,-10.087,8.0,1.2,0.0,0.0,0.163
01-11,13:30,467.184,901.848,200.99261,4.609,-1.055,-10.155,20.0,3.45,0.0,0.0,0.2274
01-11,13:40,226.909,315.102,203.42982,4.342,-1.259,-10.159,19.0,2.7,0.0,0.0,0.2504
01-11,13:50,120.568,21.4189,205.82363,3.707,-1.696,-10.696,18.0,2.2,0.0,0.0,0.1844
01-11,14:00,342.605,469.765,208.17176,3.877,-1.676,-10.876,29.0,2.45,0.0,0.0,0.2168
01-11,14:10,156.958,72.8328,210.47247,3.822,-1.739,-11.239,27.0,0.95,0.0,0.0,0.2339
01-11,14:20,385.053,848.214,212.72453,4.025,-1.541,-10.741,14.0,1.2,0.0,0.0,0.2291
01-11,14:30,323.08,725.145,214.92722,4.853,-1.079,-10.579,11.0,1.45,0.0,0.0,0.2544
01-11,14:40,261.014,542.557,217.08027,4.765,-1.071,-10.671,12.0,1.7,0.0,0.0,0.2294
01-11,14:50,142.308,138.0,219.18383,4.15,-1.407,-10.707,17.0,1.95,0.0,0.0,0.178
01-11,15:00,150.283,198.603,221.2384,3.656,-1.745,-10.645,23.0,0.95,0.0,0.0,0.2138
01-11,15:10,89.6133,0.464878,223.24483,3.472,-1.783,-10.483,62.0,0.0,0.0,0.0,0.1625
01-11,15:20,91.7601,1.0979,225.20423,3.608,-1.75,-10.55,85.0,0.0,0.0,0.0,0.1788
01-11,15:30,66.3327,-0.45993,227.11795,3.482,-1.689,-10.189,82.0,0.95,0.0,0.0,0.1703
01-11,15:40,66.689,-0.361019,228.98757,3.607,-1.638,-10.038,85.0,0.95,0.0,0.0,0.1719
01-11,15:50,36.104,-0.390693,230.81481,2.912,-1.854,-9.654,45.0,1.95,0.0,0.0,0.145
01-11,16:00,38.136,-0.40058,232.60156,2.705,-1.963,-9.663,84.0,0.7,0.0,0.0,0.1587
01-11,16:10,19.0397,-0.207709,234.3498,2.637,-2.08,-9.78,53.0,2.7,0.0,0.0,0.1416
01-11,16:20,14.392,0.0,236.06161,2.484,-2.125,-9.725,37.0,0.0,0.0,0.0,0.1334
01-11,16:30,10.5494,0.207708,237.73916,2.455,-2.201,-10.001,10.0,1.7,0.0,0.0,0.1391
01-11,16:40,2.52487,0.192873,239.38468,2.462,-2.255,-9.955,0.0,0.0,0.0,0.0,0.0
01-11,16:50,0.874786,-0.573678,241.00042,2.469,-2.208,-9.908,0.0,0.7,0.0,0.0,0.0
02-11,06:40,-0.607616,0.499502,104.80438,-11.12,-11.602,-12.802,0.0,0.0,0.0,1.0,0.0
02-11,06:50,0.962951,0.514334,106.37115,-10.83,-11.267,-12.567,0.0,1.2,0.0,1.0,0.0
02-11,07:00,5.44149,0.588521,107.95331,-11.21,-11.812,-13.812,0.0,1.7,0.0,0.0,0.0
02-11,07:10,12.2217,4.11469,109.55391,-11.56,-12.159,-13.959,0.0,1.45,0.0,0.0,0.8272
02-11,07:20,29.1478,97.5652,111.17602,-11.62,-12.449,-14.949,0.0,2.2,0.0,0.0,0.8615
02-11,07:30,37.506,141.328,112.82269,-11.44,-12.436,-15.436,1.0,2.95,0.0,1.0,1.0043
02-11,07:40,96.6121,521.363,114.49698,-11.45,-12.538,-15.838,3.0,3.7,0.0,0.0,0.9979
02-11,07:50,131.837,620.842,116.20195,-11.13,-12.165,-15.465,4.0,2.2,0.0,0.0,0.9627
02-11,08:00,164.359,676.535,117.94067,-10.71,-11.876,-15.476,3.0,2.2,0.0,0.0,0.9315
02-11,08:10,198.345,725.742,119.71621,-10.04,-11.26,-14.96,3.0,2.7,0.0,0.0,0.9196
02-11,08:20,232.559,768.68,121.53165,-10.18,-11.444,-15.144,2.0,2.2,0.0,0.0,0.9104
02-11,08:30,267.378,806.715,123.39003,-9.82,-11.022,-14.622,5.0,2.2,0.0,0.0,0.9019
02-11,08:40,301.229,840.01,125.29438,-9.02,-10.52,-14.72,3.0,1.7,0.0,1.0,0.8963
02-11,08:50,333.241,865.285,127.24768,-8.39,-10.027,-14.327,3.0,1.45,0.0,1.0,0.89
02-11,09:00,365.02,889.01,129.25279,-7.791,-9.475,-13.975,3.0,1.2,0.0,1.0,0.8862
02-11,09:10,395.567,912.552,131.31249,-5.256,-7.552,-12.852,5.0,0.0,0.254,1.0,0.877
02-11,09:20,426.041,932.284,133.42938,-3.151,-6.235,-12.935,6.0,0.0,0.762,1.0,0.8702
02-11,09:30,455.952,952.832,135.60583,-3.162,-6.105,-12.505,5.0,0.0,1.27,1.0,0.8657
02-11,09:40,484.219,965.316,137.84395,-2.794,-5.984,-12.984,4.0,0.0,2.286,1.0,0.8618
02-11,09:50,510.865,973.245,140.14549,-3.588,-6.439,-12.839,4.0,0.0,3.302,1.0,0.8565
02-11,10:00,533.452,981.163,142.51179,-2.083,-5.5,-13.0,5.0,0.0,4.318,1.0,0.8582
02-11,10:10,557.267,993.09,144.94366,-0.812,-4.577,-11.977,5.0,0.0,4.826,1.0,0.8547
02-11,10:20,577.316,987.159,147.44134,-3.225,-5.987,-11.887,8.0,1.7,4.826,1.0,0.852
02-11,10:30,598.25,995.586,150.00438,-3.057,-5.964,-11.964,5.0,0.95,4.826,1.0,0.8488
02-11,10:40,617.324,1011.77,152.63156,-1.965,-5.02,-11.02,5.0,0.0,4.826,0.0,0.8472
02-11,10:50,633.548,1021.43,155.32083,-0.934,-4.426,-11.326,5.0,0.0,4.826,0.0,0.8443
02-11,11:00,648.124,1024.12,158.06923,-0.867,-4.393,-11.393,3.0,0.7,4.826,0.0,0.8407
02-11,11:10,660.193,1028.83,160.87286,-0.152,-4.004,-11.304,3.0,0.7,4.826,0.0,0.8377
02-11,11:20,672.306,1034.16,163.72687,-0.536,-4.23,-11.43,3.0,0.0,4.826,0.0,0.8348
02-11,11:30,682.522,1031.35,166.62547,-1.641,-4.703,-10.703,3.0,2.7,4.826,0.0,0.8359
02-11,11:40,688.572,1034.86,169.56196,-1.113,-4.51,-11.11,4.0,1.7,4.826,0.0,0.8361
02-11,11:50,694.187,1039.87,172.52889,-0.836,-4.195,-10.295,3.0,1.2,4.826,0.0,0.8308
02-11,12:00,698.652,1044.18,175.51811,-1.265,-4.496,-10.696,3.0,0.0,4.826,0.0,0.8273
02-11,12:10,697.889,1042.41,178.52097,-0.251,-3.911,-10.611,3.0,1.7,4.826,0.0,0.8283
02-11,12:20,698.674,1036.04,181.52853,-1.433,-4.549,-10.549,4.0,1.45,4.826,0.0,0.8282
02-11,12:30,695.036,1035.92,184.53172,-0.515,-3.954,-10.154,4.0,1.45,4.826,0.0,0.8265
02-11,12:40,691.439,1034.83,187.52157,-0.602,-3.815,-9.515,2.0,2.95,4.826,0.0,0.8265
02-11,12:50,685.588,1034.3,190.48944,-0.599,-3.854,-9.454,4.0,2.45,4.826,0.0,0.8267
02-11,13:00,678.266,1032.84,193.42717,-0.626,-3.963,-9.863,3.0,2.45,4.826,0.0,0.8263
02-11,13:10,667.338,1028.69,196.32727,0.036,-3.472,-9.672,4.0,2.95,4.826,0.0,0.8257
02-11,13:20,656.698,1027.35,199.18303,-0.064,-3.539,-9.539,4.0,2.95,4.826,0.0,0.8257
02-11,13:30,642.977,1024.7,201.98864,-0.215,-3.357,-8.757,3.0,2.45,4.826,0.0,0.8262
02-11,13:40,626.63,1020.05,204.73922,0.152,-3.237,-8.937,3.0,1.95,4.826,0.0,0.8262
02-11,13:50,608.892,1012.72,207.43084,0.665,-2.894,-8.694,3.0,1.95,4.826,0.0,0.8261
02-11,14:00,590.557,1005.58,210.06053,0.959,-2.632,-8.532,3.0,2.2,4.826,0.0,0.8249
02-11,14:10,569.785,998.458,212.62621,0.713,-2.721,-8.321,4.0,2.7,4.826,0.0,0.8251
02-11,14:20,548.215,993.859,215.12664,1.4,-2.29,-7.99,3.0,1.2,4.826,0.0,0.8222
02-11,14:30,525.041,984.605,217.56136,1.797,-1.945,-7.545,5.0,1.7,4.826,0.0,0.8204
02-11,14:40,500.03,975.01,219.93059,2.049,-1.869,-7.769,2.0,1.7,4.826,0.0,0.8171
02-11,14:50,473.682,962.809,222.23513,2.035,-1.809,-7.509,2.0,0.7,4.826,0.0,0.8148
02-11,15:00,445.834,949.765,224.4763,1.752,-1.976,-7.776,4.0,1.95,4.826,0.0,0.813
02-11,15:10,416.729,932.444,226.65587,2.042,-1.758,-7.458,4.0,0.95,4.826,0.0,0.8103
02-11,15:20,386.954,917.106,228.77591,2.296,-1.726,-7.926,4.0,1.45,4.826,0.0,0.8064
02-11,15:30,357.434,903.737,230.83882,2.507,-1.615,-7.715,2.0,1.2,4.826,0.0,0.8001
02-11,15:40,325.441,882.4,232.84719,2.051,-1.981,-8.081,2.0,0.95,4.826,0.0,0.7954
02-11,15:50,294.304,863.695,234.80378,1.853,-2.044,-8.144,2.0,0.7,4.826,0.0,0.7863
02-11,16:00,260.69,834.703,236.71148,2.037,-2.042,-8.342,6.0,0.0,4.826,0.0,0.7767
02-11,16:10,227.188,801.865,238.57326,2.708,-1.546,-8.146,19.0,0.7,4.826,0.0,0.7648
02-11,16:20,193.962,764.003,240.39216,1.984,-1.838,-7.738,6.0,0.95,4.826,0.0,0.7519
02-11,16:30,160.352,718.677,242.17122,2.129,-1.842,-7.942,3.0,0.0,4.826,0.0,0.7333
02-11,16:40,128.759,671.529,243.91354,2.237,-1.772,-7.972,3.0,0.7,4.826,0.0,0.7143
02-11,16:50,97.7443,610.337,245.62218,1.736,-2.117,-8.017,1.0,0.95,4.826,0.0,0.6882
03-11,06:40,59.3681,415.601,97.32181,8.51,1.848,-6.852,10.0,1.45,0.0,0.0,0.3461
03-11,06:50,82.4572,449.179,98.93954,8.65,1.951,-7.049,14.0,0.0,0.0,0.0,0.2975
03-11,07:00,86.6288,316.033,100.57234,9.46,2.422,-6.778,8.0,2.95,0.0,0.0,0.2456
03-11,07:10,147.897,443.372,102.2239,9.53,2.455,-6.645,31.0,3.45,0.0,0.0,0.2369
03-11,07:20,158.62,363.142,103.89796,9.88,2.55,-7.05,35.0,2.45,0.0,0.0,0.2196
03-11,07:30,173.22,344.472,105.59837,9.57,2.468,-6.832,26.0,5.7,0.0,0.0,0.2186
03-11,07:40,193.797,389.24,107.32907,9.61,2.487,-6.813,21.0,3.2,0.0,0.0,0.2168
03-11,07:50,198.025,369.687,109.09414,9.21,2.126,-7.374,18.0,1.7,0.0,0.0,0.2059
03-11,08:00,187.02,323.916,110.89778,9.03,1.902,-7.698,12.0,2.95,0.0,0.0,0.2011
03-11,08:10,252.517,513.278,112.74432,10.04,2.692,-6.708,7.0,1.95,0.0,0.0,0.2074
03-11,08:20,297.186,605.881,114.63826,10.65,3.021,-6.779,10.0,1.95,0.0,0.0,0.2043
03-11,08:30,426.313,918.81,116.5842,10.88,2.921,-7.479,12.0,2.45,0.0,0.0,0.2053
03-11,08:40,460.337,941.399,118.58692,11.8,3.615,-6.585,15.0,3.2,0.0,0.0,0.2042
03-11,08:50,492.123,955.609,120.6513,12.65,4.206,-6.094,12.0,2.2,0.0,0.0,0.2024
03-11,09:00,525.694,966.291,122.78229,13.01,4.495,-5.705,15.0,2.45,0.0,0.0,0.1995
03-11,09:10,551.457,942.11,124.98492,13.7,4.678,-6.222,21.0,3.45,0.0,0.0,0.2007
03-11,09:20,317.601,350.08,127.2642,12.96,4.12,-6.88,13.0,3.7,0.0,0.0,0.189
03-11,09:30,545.702,784.751,129.62508,14.07,4.805,-6.295,16.0,0.95,0.0,0.0,0.1946
03-11,09:40,551.084,752.288,132.07229,14.02,4.657,-6.743,23.0,0.0,0.0,0.0,0.1918
03-11,09:50,677.117,1008.31,134.61029,14.95,5.148,-6.452,23.0,2.95,0.0,0.0,0.1924
03-11,10:00,696.13,1007.65,137.24308,14.65,5.024,-6.576,27.0,3.7,0.0,0.0,0.1901
03-11,10:10,707.96,1012.51,139.97401,15.1,5.307,-6.373,24.0,3.95,0.0,0.0,0.189
03-11,10:20,720.874,1017.56,142.80562,15.55,5.55,-6.05,19.0,3.95,0.0,0.0,0.1878
03-11,10:30,738.356,1022.63,145.73935,15.31,5.438,-6.062,16.0,4.2,0.0,0.0,0.1869
03-11,10:40,754.661,1027.82,148.77533,15.43,5.494,-6.206,15.0,2.7,0.0,0.0,0.1858
03-11,10:50,768.229,1029.3,151.91212,15.57,5.62,-5.88,16.0,4.95,0.0,0.0,0.1851
03-11,11:00,780.891,1031.36,155.14648,15.15,5.158,-6.842,16.0,2.45,0.0,0.0,0.1839
03-11,11:10,790.976,1030.47,158.47316,15.31,5.478,-6.112,15.0,4.7,0.0,0.0,0.1828
03-11,11:20,800.593,1032.8,161.88478,15.68,5.624,-5.976,14.0,1.95,0.0,0.0,0.1825
03-11,11:30,807.818,1035.62,165.37175,17.02,6.382,-5.418,17.0,3.45,0.0,0.0,0.183
03-11,11:40,812.889,1032.77,168.92236,16.42,5.746,-6.954,19.0,2.45,0.0,0.0,0.1812
03-11,11:50,818.169,1034.5,172.52298,16.98,6.509,-5.091,19.0,2.7,0.0,0.0,0.1812
03-11,12:00,818.624,1029.29,176.15835,16.98,6.127,-6.373,19.0,3.95,0.0,0.0,0.1819
03-11,12:10,819.543,1028.68,179.81205,17.49,6.523,-5.677,20.0,1.7,0.0,0.0,0.1815
03-11,12:20,818.568,1028.05,183.46702,17.42,6.251,-6.849,27.0,1.95,0.0,0.0,0.1805
03-11,12:30,823.94,1027.66,187.10617,17.85,6.523,-6.277,27.0,4.7,0.0,0.0,0.182
03-11,12:40,825.178,1019.77,190.71295,17.72,6.513,-6.287,31.0,4.95,0.0,0.0,0.183
03-11,12:50,840.875,1011.36,194.27192,17.94,6.603,-6.297,34.0,2.7,0.0,0.0,0.1849
03-11,13:00,472.536,349.844,197.76917,17.56,6.352,-6.548,27.0,2.7,0.0,0.0,0.1918
03-11,13:10,201.856,10.5337,201.19271,16.65,5.889,-6.811,30.0,3.2,0.0,0.0,0.1608
03-11,13:20,260.857,4.15415,204.53264,16.59,5.785,-7.015,59.0,2.2,0.0,0.0,0.1669
03-11,13:30,230.549,1.09293,207.78126,16.49,5.931,-6.369,61.0,2.7,0.0,0.0,0.1641
03-11,13:40,214.149,0.998973,210.93303,16.49,5.732,-7.068,52.0,2.2,0.0,0.0,0.1637
03-11,13:50,459.403,376.196,213.98443,17.02,6.144,-6.356,27.0,2.45,0.0,0.0,0.1519
03-11,14:00,648.974,828.308,216.93377,17.14,6.123,-6.677,17.0,1.45,0.0,0.0,0.2084
03-11,14:10,720.109,994.109,219.78098,18.28,6.71,-6.19,24.0,3.7,0.0,0.0,0.1927
03-11,14:20,726.182,975.039,222.52733,19.11,6.794,-7.506,28.0,4.7,0.0,0.0,0.1925
03-11,14:30,754.422,958.247,225.17522,19.38,6.872,-7.728,44.0,2.7,0.0,0.0,0.1961
03-11,14:40,422.624,431.081,227.72789,18.78,6.697,-7.303,48.0,2.95,0.0,0.0,0.19
03-11,14:50,205.275,6.70602,230.18927,19.02,6.887,-7.093,60.0,2.45,0.0,0.0,0.174
03-11,15:00,204.342,17.0715,232.56375,18.66,6.78,-6.72,73.0,2.95,0.0,0.0,0.1762
03-11,15:10,211.773,5.17781,234.85606,18.05,6.285,-7.715,69.0,1.7,0.0,0.0,0.1733
03-11,15:20,195.448,30.6566,237.07111,18.59,6.644,-7.156,57.0,1.7,0.0,0.0,0.173
03-11,15:30,248.488,51.3679,239.21392,18.1,6.219,-7.981,68.0,0.95,0.0,0.0,0.1563
03-11,15:40,494.569,658.804,241.28951,18.04,6.31,-7.67,73.0,2.2,0.0,0.0,0.1924
03-11,15:50,159.75,5.14327,243.30286,18.54,6.507,-7.773,52.0,0.0,0.0,0.0,0.1611
03-11,16:00,127.742,4.24808,245.25888,18.06,6.643,-6.337,42.0,1.95,0.0,0.0,0.1501
03-11,16:10,116.349,1.07315,247.16233,17.78,6.446,-6.354,34.0,1.2,0.0,0.0,0.145
03-11,16:20,74.0784,16.3247,249.01789,17.69,6.615,-5.585,16.0,0.0,0.0,0.0,0.1197
03-11,16:30,67.8766,1.0781,250.83004,17.14,6.387,-5.613,13.0,0.0,0.0,0.0,0.1038
03-11,16:40,66.342,0.0,252.60316,16.73,6.244,-5.356,20.0,2.7,0.0,0.0,0.1155
03-11,16:50,66.7623,-0.79621,254.34148,16.79,6.712,-4.068,34.0,1.7,0.0,0.0,0.1318
04-11,06:40,200.238,715.078,89.42292,11.6,2.784,-9.516,6.0,2.7,0.0,0.0,0.242
04-11,06:50,237.415,757.982,91.02152,11.9,2.712,-10.388,7.0,1.7,0.0,0.0,0.2339
04-11,07:00,272.922,793.374,92.63557,12.66,3.14,-10.06,11.0,2.45,0.0,0.0,0.2249
04-11,07:10,311.339,821.847,94.26917,12.49,3.086,-10.014,10.0,2.7,0.0,0.0,0.2243
04-11,07:20,348.201,847.607,95.92666,12.91,3.273,-10.127,10.0,3.2,0.0,0.0,0.22
04-11,07:30,385.322,869.614,97.61262,13.16,3.43,-9.97,10.0,4.7,0.0,0.0,0.2179
04-11,07:40,421.07,885.614,99.3319,13.34,3.599,-9.701,9.0,4.2,0.0,0.0,0.2155
04-11,07:50,456.405,904.813,101.08968,13.98,3.808,-10.092,12.0,3.45,0.0,0.0,0.2131
04-11,08:00,492.316,919.675,102.89151,14.09,3.875,-9.825,13.0,2.7,0.0,0.0,0.2095
